생활지역권,남자20대이하,남자30대,남자40대,남자50대,남자60대,여자20대이하,여자30대,여자40대,여자50대,여자60대
가락,12.332350120181102,5.726293348408852,6.060404958453479,5.39557995843989,3.901167339540209,11.56766058685252,6.212978015834596,6.438097391766939,6.5075320760425095,5.2505367602440485
가산,5.164829484093514,6.905400207657146,5.840721614369499,3.9092937864472064,1.7807240021545774,5.379419290025814,4.405284466163082,2.7968207356991677,2.211552989371295,1.2551950760623074
가좌,7.350810849171754,3.1149658946506107,3.5050339869390457,2.7784914102487215,1.9423403192721163,8.329886878028383,3.8874283742340636,3.9848687890039294,3.4727165760681697,2.7556891900678813
강일.상일,7.254312220131177,3.5053836007307773,4.165478049763444,2.9356638404028956,2.2224819860490155,7.146381318482905,4.13765295571841,4.1695054090974635,3.405969260522746,3.0212074716374695
개포.일원,7.132127518465102,3.258258303408398,3.8556148551895304,3.6250093840418045,2.5573570930573486,5.8970407765678745,3.30114504525219,3.8704909262592158,3.357300080574685,3.1526665718939575
거여.마천,4.547328357598679,2.2410982301794298,2.5031519523618115,2.4510118369024103,1.904332658114735,4.060586283621606,2.3690336158308507,2.6793072184001496,2.921173281581824,2.642784825884641
고척.개봉,9.53057380985552,4.069865469295402,4.40607137766674,3.9497590283374273,3.11882395809101,9.446886650516598,4.326741978577309,4.7211451595132665,5.041396997339946,4.620381810302832
공릉,10.403571953368113,3.1413925516420456,3.442813819613486,3.084316995332298,2.3802783667301117,9.669705176232595,3.392780618435539,3.8237119036063363,3.8053036792340387,3.0449257192402173
공항.방화,9.767878712981984,6.011886032105605,5.864676892859204,4.8861075080412535,3.4338115709734964,9.464831939675259,5.865955293890743,4.882304244502447,4.449859518237015,3.7056825512678677
구로디지털단지,4.931170064310291,5.436754547567546,5.155290697037902,3.43405139328919,1.794743375424973,5.352366761345287,4.318651069610116,3.2973741521412006,2.8009280627892643,1.9888574838594206
구로신도림,9.352352373105544,6.302187774969845,6.450520189906338,5.386684756761761,3.4638395922385743,10.160534665582887,6.467452028235538,5.969487119090942,5.372306509613652,4.079121091111236
구의,10.46485628799543,4.6137178807492685,5.245465936022581,4.448118532898381,2.872245133627365,12.414866213483988,5.214617280391117,6.14517125880915,5.251132908143112,3.7386992339279765
금호.옥수 ,5.986344955153553,3.5122763470182092,3.6443586956652543,2.835540130566416,1.9643364397884369,6.303224752983259,4.4570543890510645,4.2925607074861665,3.397975689336775,3.0147356578531195
길동.둔촌,7.813574928979013,3.6705512876119593,3.781068911252115,3.4982862221721707,2.7611020337623255,6.904394494946416,3.8204343822477296,4.0420108699540265,4.300326676747621,3.75891477175978
길음,7.278315923416606,2.278609531557911,3.126841828682538,2.4806359814123295,1.6820457994624576,7.720460720296921,3.058728202224364,4.07181025618836,3.292375079686328,2.475006061586852
낙성대,11.584854704026847,6.061537065949078,4.211081582940096,3.2966007157687804,2.3233757703726576,11.838792934499699,5.729324670589334,4.097588565593933,3.92296494236293,3.106629162244213
난곡,9.162544533452142,5.222466743071711,4.84237582080695,3.7298070364715645,2.5200728717875225,9.69435906009979,4.802684310434118,4.275932957506935,4.39533960056248,3.489533740958148
노량진,11.707452208971253,5.679122998297139,4.533464955042132,3.8573016787394003,2.4777906805832832,10.656089589947053,4.861284684834813,4.2790085553182395,3.9841415752392386,3.1885844765804747
노원,7.98991447011938,3.086874438917318,3.3471122543471226,3.3824716283117033,2.5187088158996613,8.668850831469863,3.7845632591927654,4.468386693106136,5.001079628960575,3.500435970602663
당산,6.292630695396437,4.763752584128583,4.170525185333319,3.1513159281974743,1.8078196908330095,6.903481951477056,4.699259216481537,3.3559663767546026,2.704775409774811,1.9350097009195695
대림,4.023057498796246,3.125199373323964,2.971611512782134,2.921326787694293,2.123993206570058,4.184923831491697,3.2083652337930233,2.8636625431878877,3.280954925787747,2.581743394866247
대치.도곡,20.73755191342471,8.512146771956154,10.671600266017725,8.076514087032203,4.421535795455903,21.223439543702995,8.99659205743403,11.708512439859703,7.6299087308477445,5.599206839103384
대학,9.17074725409466,4.757003469038351,3.589786808431139,2.87591714767351,1.7126395166825101,7.509492942404922,3.0806037659801433,2.326875563105062,2.4558529849543764,2.1192031638146607
도봉,3.0204049330210463,1.3026678984436275,1.5811828697405288,1.6815620491472245,1.5066087266669166,2.820584627927697,1.4004558819167237,1.58172946261906,1.9132671879827505,1.929913821815046
독산,5.879435752627614,4.719339672828409,4.124469150072003,3.670993271627101,2.583642502702632,6.060249634744939,4.131965841476664,3.340865766672584,4.070256575069862,2.97573960147864
마곡,8.408048638349397,6.911409182617013,6.258644726141095,4.605236499381744,3.0124441672351048,9.860551397737096,6.2772670786462355,4.728584591785166,4.135987788590634,3.2869254725644708
마들,7.226349205052812,2.507669950063644,2.541788770001234,2.5097217140984274,1.969477912032205,7.014451471332497,3.1110482585924957,3.4123097551069623,3.506452330921745,3.12195683239103
마장.용답,7.842037232537751,3.317552394727573,3.2345482709563527,3.0265125886901214,1.960378437461496,7.994750800638859,3.140061596837955,2.7022625614089697,2.658520226751765,1.951882760466926
면목,10.040287177431274,5.1841190605844805,5.317809442713198,5.413693636354691,3.9295262439141703,10.01299607020509,5.5063766628964785,5.790727917897514,6.645353099715396,5.298474936071893
명일.고덕,9.448530443019873,2.74072627216468,3.5572379623109653,3.0058163605037564,2.3025492420363083,8.113649338600952,3.2980774416310332,4.250799633872399,3.5183372898694985,3.0980648209566937
목동1,6.334030612766569,2.480925368065196,2.410021690930978,2.0578147483084392,1.4193516569154332,5.3579306545361485,3.0348736734251314,2.885852943271567,2.8647691044427126,2.13686770041496
목동2,15.07979769734285,4.234062417502513,6.555883941512768,5.184506025271653,3.2581924050055697,15.49249172349495,5.410993279857256,8.625535196169702,6.3055782837025625,4.435061864415392
문정,12.30204555860494,7.603490714478667,7.588109903366643,5.401260251923579,3.4224184025578013,12.448867175320999,7.822837165824846,6.686811562449935,5.5046467679567845,4.1617014169383975
미아,5.468689063453911,2.374914853705171,2.6474080069163857,2.640633987792178,1.9977349995620546,5.459191592414253,2.4100228246186766,2.7832440792245836,3.375209550937914,2.7538342675023952
반포,13.653698265586897,7.3095082782587975,9.469805321318196,6.945041043936958,3.958317164193662,15.48850075943137,8.631716271851216,9.753474059924796,6.822445870678085,5.14828107723459
발산,9.243841182195238,3.5611287442636717,4.113954202523868,3.2344839344735536,2.2508813030579726,10.00527345894424,3.989963759511762,4.704176410482067,3.7079985993827926,3.10555434256767
방배,9.42707613975091,5.1173210190040015,5.780030671421556,4.878339184411946,3.2393651007981794,11.146193707210001,5.726488070778102,5.987230405622403,5.291874519334375,4.192778160221347
방학,4.811474146515001,1.9215880796231455,2.149750419244437,2.312197329847674,1.8801348937727236,4.248477713820649,1.9057204916350863,2.462598953687021,2.9304092229731054,2.58974985031853
번동,2.206653077788905,0.8921522630401943,1.0765805320239203,1.1104717475123094,0.8500886694092408,2.2177818513380294,0.9446614639721971,1.2744116753568047,1.4213777232071407,1.3040598122320612
봉천,10.57379849426977,5.51305159675142,4.451152183071589,3.2992005691540864,2.4026035355250634,12.006369190269496,5.328198084809544,4.280043370321846,4.140736178342059,3.3470745101051924
불광,6.937241515754583,3.647024518029808,3.3731119783253742,3.2572136181986484,2.48870718313422,7.3119282232761265,3.936322314592353,4.0227756415905125,4.480353828054115,3.678878131995559
사당,7.852422923279708,4.499956136944787,4.1647848166181225,3.348869506370228,2.7258957163699056,8.38950292569569,4.990542753267742,4.291036728274601,4.240375232451149,3.950923109394683
삼각산,6.614267580612428,2.642423668838529,3.356372733119148,3.104928584184993,2.208696137086774,8.025593754955638,3.1944070916591127,4.218027635292528,4.118063704732542,3.207703533946557
삼성,6.466849414424995,6.210059769468159,6.529592887055299,3.945925033770861,1.8663532292047484,7.67474487984344,6.095717621883288,4.903015691103306,3.0766721484870185,2.0943396398369853
